Place,City,State,Full Address,Latitude,Longitude,Rating,Open Time,Close Time,Best Time to Visit,Type,Avg time spent,Avg Cost,Free/Paid
Agrasen Ki Baoli,Delhi NCR,Delhi NCR,Agrasen Ki Baoli Delhi NCR ,28.6260482,77.2250329,1,9:00,17:30,Time : 7:00 am – 6:00 pm,Heritage,1.5,0,0
Aksa Beach,Mumbai,Maharashtra,"Aksa Beach Malad, Mumbai Maharashtra ",19.1759612,72.7953513,3.5,0:00,23:59,"12:00AM-12:00PM, Open on all days",Beaches,1,0,0
Akshardham Temple,Delhi NCR,Delhi NCR,Akshardham Temple Delhi NCR ,28.6126735,77.2772619,4.8,9:30,20:00,"  Day, except Monday. Entry closes at 6:30 pm",Religious,4,0,0
Amnesia Lounge Bar And Club,Hyderabad,Telangana,Amnesia Lounge Bar And Club Hyderabad Telangana ,17.4312856,78.4069669,4.1,0:00,23:59,NIght,Food,4,650,1
Ashtlakshmi Temple,Chennai,Tamil Nadu,"Ashtlakshmi Temple Elliots Beach, Besant Nagar, Chennai Tamil Nadu ",12.9988983,80.2718556,4.5,6:30,21:00, 6:30 am to 12:00 pm and 4:00 pm to 9:00 pm,Religious,1,0,0
Asiatic Library,Mumbai,Maharashtra,"Asiatic Library Fort, Mumbai Maharashtra ",18.9345189,72.8371021,4,10:30,18:30,"10:30 am-6:30 pm, Closed on Sunday",Heritage,0.33,60,1
Atria Mall,Mumbai,Maharashtra,Atria Mall Mumbai Maharashtra ,18.9912457,72.8144358,3,10:00,23:59,,Mall,2,0,0
B.M. Birla Planetarium,Chennai,Tamil Nadu,B.M. Birla Planetarium ChennaiTamil Nadu ,13.0119334,80.2440367,4,10:00,17:45,"Chennaiis scorching hot and humid during summer. The monsoon season brings some relief for travellers. But untimely torrential downpours and occasional cyclones make it unsuitable for a pleasant visit.

So, the best time to visit Birla Planetarium in Chennaiis during the winters, from December to February. The climate remains warm, and the sky is clear for most parts of the day.",Entertainment,3,60,1
Babulnath Temple,Mumbai,Maharashtra,Babulnath Temple Mumbai Maharashtra ,18.9573618,72.8084735,4.5,5:00,22:30,"Babulnath Temple opening time is 5 AM, and it closes by 10.30 PM every day, except Monday. On Mondays, the temple remains open from 4.30 AM to 11.30 PM.",Religious,0.75,0,0
Bademiya,Mumbai,Maharashtra,Bademiya Mumbai Maharashtra ,18.9233162,72.8325517,4,12:00,4:00,,Food,1,500,1
Ballard Bunder Gatehouse Navy Museum,Mumbai,Maharashtra,Ballard Bunder Gatehouse Navy Museum Mumbai Maharashtra ,18.9336770,72.8403549,4.5,9:00,15:00,,Art & Museum,2,0,0
Bandra Bandstand,Mumbai,Maharashtra,Bandra Bandstand Mumbai Maharashtra ,19.0505162,72.8213859,4.2,6:00,23:59,,Leisure,0.5,0,0
Bandra Worli Sealink,Mumbai,Maharashtra,"Bandra Worli Sealink Bandra, Mumbai Maharashtra ",19.0425408,72.8231074,3.5,0:00,23:59,"12:00AM-12:00PM, Open on all days",Leisure,0.25,100,1
Bangla Sahib Gurudwara,Delhi NCR,Delhi NCR,Bangla Sahib Gurudwara Delhi NCR ,28.6263764,77.2090704,4.8,12:00,12:00,"Timings : Open 24 hoursBest Time to Visit : Avoid peak afternoon time as the marble flooring tend to get hot,Community Meals or Langar Timings : Timings: 9 AM to 3 PM
7 PM to 10 PM",Religious,1,0,0
Begum Bazaar,Hyderabad,Telangana,Begum Bazaar Hyderabad Telangana ,17.3748293,78.4704282,3.7,10:00,23:00,,Shopping,2,0,0
Bharat Darshan Park,Delhi NCR,Delhi NCR,Bharat Darshan Park Delhi NCR ,28.6667865,77.1352958,4,10:00,22:00,Closed on Monday,Leisure,2,150,1
Bhavan's Nature And Adventure Centre,Mumbai,Maharashtra,Bhavan's Nature And Adventure Centre Mumbai Maharashtra ,19.1237749,72.8350210,4.5,14:00,19:00,Open On Sundays only,Nature & Wildlife,2,180,1
Birla Mandir,Hyderabad,Telangana,Birla Mandir Hyderabad Telangana ,17.4062367,78.4690601,4.7,7:00,21:00,,Religious,2,0,0
Birla Planetarium,Hyderabad,Telangana,Birla Planetarium Hyderabad Telangana ,17.4032767,78.4706855,4.2,11:30,20:00,,Art & Museum,3,150,1
Birla Temple,Delhi NCR,Delhi NCR,Laxmi Narayan Temple Delhi NCR ,28.6326666,77.1989963,5,4:00,13:30,"4:30 am – 1:30 pm
2:30 pm – 9:00 pm",Religious,1,0,0
Blend,Chennai,Tamil Nadu,"Blend Taj Club House, Anna Salai, ChennaiTamil Nadu ",13.0615617,80.2641474,4,15:00,23:59,,Entertainment,3,2500,1
Bombay Panjrapole,Mumbai,Maharashtra,Bombay Panjrapole Mumbai Maharashtra ,18.9546542,72.8280600,4.4,12:00,12:00,Open Everyday,Nature & Wildlife,1,0,0
Bombay stock Exchange,Mumbai,Maharashtra,"Bombay stock Exchange Fort, Mumbai Maharashtra ",18.9299891,72.8334080,4.5,10:00,15:30,Closed on Holidays,Heritage,0.25,0,0
Botanical Garden,Hyderabad,Telangana,Botanical Garden Hyderabad Telangana ,17.4544900,78.3569353,4.2,5:30,19:00,,Entertainment,2,0,0
Breezy Beach,Chennai,Tamil Nadu,Breezy Beach ChennaiTamil Nadu ,13.0799845,80.2500355,4,12:00,12:00,,Leisure,1.5,0,0
Byculla Zoo,Mumbai,Maharashtra,Byculla Zoo Mumbai Maharashtra ,18.9778525,72.8371507,3.8,9:00,18:00,Closed on Wednesdays,Nature & Wildlife,2,100,1
Cafe Leopold,Mumbai,Maharashtra,"Cafe Leopold Colaba, Mumbai Maharashtra ",18.9226402,72.8316401,4.3,7:30,23:59,"7:30AM-12:00AM, Open on all days",Food,0.5,500,1
Carter Road,Mumbai,Maharashtra,Carter Road Mumbai Maharashtra ,19.0676471,72.8226646,3.9,17:00,21:00,,Leisure,0.5,0,0
Cha Bar,Delhi NCR,Delhi NCR,Cha Bar Delhi NCR ,28.6310370,77.2221142,4.1,10:00,21:00,,Food,1,500,1
Chandni Chowk,Delhi NCR,Delhi NCR,Chandni Chowk Delhi NCR ,28.6505331,77.2303370,5,10:00,20:00,Most shops remain open between 10:00 AM and 7:00 PM on all days except Sundays.,Shopping,2,0,0
Chariot Beach Resort,Chennai,Tamil Nadu,Chariot Beach Resort ChennaiTamil Nadu ,13.0438838,80.2612139,4.2,9:30,17:30,,Entertainment,8,1070,1
Charminar,Hyderabad,Telangana,Charminar Hyderabad Telangana ,17.3615636,78.4746645,4.5,9:30,17:30,Morning,Heritage,3,0,0
Charminar Bazaar,Hyderabad,Telangana,Charminar Bazaar Hyderabad Telangana ,17.4032981,78.4630912,3.7,11:00,23:00,,Shopping,2,0,0
Chattarpur Temple,Delhi NCR,Delhi NCR,Chattarpur Temple Delhi NCR ,28.5027420,77.1805862,4.2,6:00,22:00,Timings : 6:00 AM - 10:00 PM,Religious,1.5,0,0
Chennaigaga,Chennai,Tamil Nadu,Chennaigaga ChennaiTamil Nadu ,13.0616367,80.2648434,4.5,11:00,18:00,,Shopping,1,0,0
ChennaiRail Museum,Chennai,Tamil Nadu,ChennaiRail Museum ChennaiTamil Nadu ,13.1001073,80.2086749,4.4,10:00,18:00,Open from Tuesday to Sunday and remains closed on every Monday and National Holidays. Last entry in the museum is at 5:30 pm,Art & Museum,2,50,1
ChennaiSnake Park,Chennai,Tamil Nadu,ChennaiSnake Park ChennaiTamil Nadu ,13.0042330,80.2386284,4,9:00,18:00,"Timings: 9:00 am – 5:30 pm (National Park & Snake Park)
9:00 am – 6:00 pm (Children’s Park)",Nature & Wildlife,1,20,1
Chetpet Ecopark,Chennai,Tamil Nadu,Chetpet Ecopark ChennaiTamil Nadu ,13.0767297,80.2410836,4.3,9:00,18:00,,Leisure,1.5,25,1
Chhatrapati Shivaji Terminus,Mumbai,Maharashtra,"Chhatrapati Shivaji Terminus CSMT, Mumbai Maharashtra ",18.9398446,72.8354475,4,0:00,23:59,"12:00AM-12:00PM, Open on all days",Heritage,0.2,10,1
Chilkur Balaji Temple,Hyderabad,Telangana,Chilkur Balaji Temple Hyderabad Telangana ,17.3522282,78.3018056,4.7,5:00,20:00,,Religious,2,0,0
Choki Dhani,Chennai,Tamil Nadu,Choki Dhani ChennaiTamil Nadu ,13.0119529,80.0085924,4.1,16:00,22:00,,Entertainment,3,550,1
Cholamandal Artists Village,Chennai,Tamil Nadu,Cholamandal Artists Village ChennaiTamil Nadu ,12.9235976,80.2558288,4.1,9:30,18:30,,Art & Museum,3,20,1
Chor Bazar,Mumbai,Maharashtra,Chor Bazar Mumbai Maharashtra ,18.9605412,72.8251079,4.5,11:00,19:30,The market is open from 11:00 AM to 7:30 PM Saturday to Thursday. The market is closed on Fridays (only opens briefly early morning between 4:00 AM and 8:00 AM called Jumma Market).,Shopping,1,0,0
Chota Kashmir,Mumbai,Maharashtra,"Chota Kashmir Goregaon, Mumbai Maharashtra ",19.1623259,72.8731143,4,10:00,18:00,"10:AM-6:00PM, Open on all days",Leisure,0.5,20,1
Chowmahalla Palace,Hyderabad,Telangana,Chowmahalla Palace Hyderabad Telangana ,17.3578233,78.4716897,4.4,10:00,17:00,,Heritage,2,0,0
Clubbing in Hauz Khaz,Delhi NCR,Delhi NCR,Clubbing in Hauz Khaz Delhi NCR ,28.5478897,77.2031247,5,16:00,2:00,Timings: Most of the restaurants and pubs remain open till midnight,Leisure,3,1300,1
Coco’s Bar And Grill,Hyderabad,Telangana,Coco’s Bar And Grill Hyderabad Telangana ,17.4239734,78.4247463,4.1,0:00,23:59,Night,Food,3,850,1
Colaba Causeway Market,Mumbai,Maharashtra,"Colaba Causeway Market Colaba, Mumbai Maharashtra ",18.9172018,72.8286193,3.5,11:00,22:00,"10:00AM-10:00PM, Open on all days",Shopping,2.5,0,0
Connaught Place,Delhi NCR,Delhi NCR,Connaught Place Delhi NCR ,28.6304203,77.2177216,5,11:00,21:00,Evening ,Shopping,2,2500,1
Crafts Museum,Delhi NCR,Delhi NCR,Crafts Museum Delhi NCR ,28.6136111,77.2425000,3,10:00,17:00,Monday Closed,Art & Museum,1.5,20,1
