name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Plum By Bent Chair,Casual Dining,"The Walk, Worldmark 2, Aerocity, New Delhi",New Delhi,Aerocity,28.55154,77.122704,"Aerocity, New Delhi",Asian,12noon to 1am (Mon-Sun),0,1,"Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Serves Cocktails', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Sneakpeek', 'Valet Parking Available",4.9,Excellent,1545,4321,-1,-1
Pa Pa Ya,Fine Dining,"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi",New Delhi,"Select Citywalk Mall, Saket",28.52839131,77.21861087,"Select Citywalk Mall, Saket, New Delhi","Asian, Chinese, Thai, Japanese",12Noon to 1AM (Mon-Sun),2500,4,"Credit Card', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Dinner', 'Mall Parking', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Indoor Seating', 'Table booking recommended",4.7,Excellent,3234,8344,-1,-1
Ministry Of Beer,Lounge,"M 44, Outer Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.6332862,77.2227874,"Connaught Place, New Delhi","Continental, Italian, Asian, Momos",12 Noon to 1 AM (Mon-Sun),1500,3,"Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Dance Floor', 'Nightlife', 'Fullbar', 'Live Music', 'Above 18 Only', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wifi",4.5,Excellent,3043,9984,-1,-1
Detroit,Bar,"F40, 2nd Floor, Inner Circle, 
Connaught Place, New Delhi",New Delhi,Connaught Place,28.63135693,77.2202507,"Connaught Place, New Delhi","Bar Food, Mexican, Italian",Mon-Sun (12 Noon to 1 AM),1500,3,"Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Nightlife', 'Fullbar', 'Air Conditioned', 'Sports TV', 'Indoor Seating', 'Table booking recommended', 'Sneakpeek",4.6,Excellent,1327,3255,-1,-1
The Darzi Bar & Kitchen,Casual Dining,"H 55, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63550794,77.21909601,"Connaught Place, New Delhi","North Indian, Chinese, Continental, Pizza",12 Noon to 1 AM,1500,3,"Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Air Conditioned', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Rooftop', 'Free Wifi', 'Axis Bank - Dining Delights', 'Smoking Area', 'DJ', 'Valet Parking Available', 'Live Music",4.3,Very Good,3211,9618,-1,-1
Tamasha,Bar,"28, Block A, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,Connaught Place,28.62966246,77.22186003,"Connaught Place, New Delhi","Finger Food, North Indian, Continental, Italian",12 Noon to 1 AM (Mon-Sun),1600,3,"Credit Card', 'Serves Alcohol', 'Debit Card', 'Lunch', 'Cash', 'Dinner', 'Table booking recommended', 'Digital Payments Accepted', 'DJ', 'Fullbar', 'Air Conditioned', 'Live Entertainment', 'Outdoor Seating', 'Hookah', 'Live Sports Screening', 'Live Music', 'Smoking Area', 'Nightlife', 'Indoor Seating",4.5,Excellent,8702,6126,-1,-1
Hauz Khas Social,Lounge,"9-A & 12, Hauz Khas Village, New Delhi",New Delhi,Hauz Khas Village,28.55429353,77.19443813,"Hauz Khas Village, New Delhi","Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",11am to 12:30AM (Mon-Sun),1300,3,"Dinner', 'Delivery', 'Credit Card', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Romantic Dining', 'Paid Wifi', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Table reservation required', 'Wifi', 'All Day Breakfast",4.8,Excellent,14751,11914,1,-1
Local,Bar,"11, KG Marg, Scindia House, Connaught Place, New Delhi",New Delhi,Connaught Place,28.62991407,77.22117137,"Connaught Place, New Delhi","North Indian, Continental, Momos",11 AM to 1 AM,1600,3,"Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Sneakpeek', 'Smoking Area",4.3,Very Good,6583,7496,-1,-1
AMA Cafe,Cafe,"House 6, New Colony, Majnu ka Tila, New Delhi",New Delhi,Majnu ka Tila,28.70258176,77.22841937,"Majnu ka Tila, New Delhi","Cafe, Juices",7 AM to 10 PM,450,1,"Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Wifi",4.5,Excellent,3749,8956,-1,-1
Delhi Darbar Biryani Point,Quick Bites,"B-234, Gate 4, East Metro Station, Uttam Nagar, New Delhi",New Delhi,Uttam Nagar,28.62542822,77.06446063,"Uttam Nagar, New Delhi",Biryani,9am to 11pm (Mon-Sun),200,1,"Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating",4.2,Very Good,1009,67,1,-1
Station Bar,Bar,"F-60, Second Floor, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63106088,77.22003076,"Connaught Place, New Delhi","Asian, Continental, North Indian, Mediterranean, Bar Food",Mon-Sun (12 Noon to 1 AM),1600,3,"Lunch', 'Serves Alcohol', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'DJ', 'Fullbar', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi",4.8,Excellent,1009,1981,-1,-1
AIR- An Ivory Region,Lounge,"1/83, Third Floor, Club Road, West Punjabi Bagh, Punjabi Bagh, New Delhi",New Delhi,Punjabi Bagh,28.547809,76.9869859,"Punjabi Bagh, New Delhi","North Indian, Chinese, Continental, Asian",12 Noon to 12 Midnight,1400,3,"Dinner', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'DJ', 'Live Entertainment', 'Nightlife', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Serves Cocktails', 'Air Conditioned', 'Smoking Area', 'Free Parking', 'Live Sports Screening', 'Fullbar', 'Wine', 'Live Music', 'Rooftop', 'Table booking recommended', 'Sneakpeek",4.1,Very Good,2472,1079,-1,-1
Unplugged Courtyard,Bar,"23/7, L Block, Middle Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63425289,77.22150631,"Connaught Place, New Delhi","North Indian, Continental, Momos",12 Noon to 1 AM,1600,3,"Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Live Music', 'Romantic Dining', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Smoking Area', 'Brunch",4.1,Very Good,3492,7882,-1,-1
Lord Of The Drinks,Lounge,"G-72, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63174449,77.21668907,"Connaught Place, New Delhi","European, Chinese, North Indian, Italian, Asian",11 AM to 12:45 AM,2500,4,"Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'Digital Payments Accepted', 'Sneakpeek', 'Wifi', 'Fullbar', 'Above 18 Only', 'Restricted Entry', 'Air Conditioned', 'LGBTQIA Friendly', 'Smoking Area",4.5,Excellent,9540,5445,-1,-1
Out Of The Box,Casual Dining,"5, Khan Market, New Delhi",New Delhi,Khan Market,28.5997905,77.2262576,"Khan Market, New Delhi","North Indian, Lebanese, Mexican, Italian, American",12 Noon to 1 AM,1550,3,"Lunch', 'Delivery', 'Dinner', 'Takeaway Available', 'Serves Alcohol', 'Credit Card', 'Cash', 'Debit Card', 'Nightlife', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Table booking recommended', 'Live Music', 'Axis Bank - Dining Delights', 'Live Sports Screening', 'Indoor Seating', 'Wifi",4.7,Excellent,2631,3319,1,-1
Themis Barbecue House,Lounge,"Shop 251, 2nd Floor, Above Stanmax Aggarwal Millennium Tower 1, Netaji Subhash Place, New Delhi",New Delhi,Netaji Subhash Place,28.69330375,77.14904577,"Netaji Subhash Place, New Delhi","North Indian, BBQ","11:30am to 5pm, 6:30pm to 12midnight (Mon-Sun)",1400,3,"Dinner', 'Credit Card', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Live Sports Screening', 'Live Music', 'Rooftop', 'Table booking recommended', 'Sneakpeek', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Buffet",4.5,Excellent,2645,4425,-1,-1
Moolchand Parantha,Unknown,"Moolchand Metro Station, Lajpat Nagar 4, New Delhi",New Delhi,Lajpat Nagar 4,28.56413479,77.23434772,"Lajpat Nagar 4, New Delhi",North Indian,9 AM to 11:30 PM,300,1,"Cash', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Lunch",4.2,Very Good,2057,635,-1,-1
Rajinder Da Dhaba,Quick Bites,"AB-14, Safdarjung Enclave Market, Safdarjung, New Delhi",New Delhi,Safdarjung,28.56544722,77.19927415,"Safdarjung, New Delhi","North Indian, Rolls",5 PM to 12 Midnight,800,2,"Standing Tables', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card",4.2,Very Good,5498,1949,-1,-1
Diggin,Cafe,"10, Santushti Shopping Complex, Race Course Road, Chanakyapuri, New Delhi",New Delhi,Chanakyapuri,28.59515645,77.197924,"Chanakyapuri, New Delhi","Cafe, Italian, Mexican, Desserts",11:30am to 10pm (Mon-Sun),1300,3,"Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating",4.3,Very Good,2672,4140,-1,-1
Ardor 2.1,Lounge,"N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63020835,77.21956406,"Connaught Place, New Delhi","North Indian, Chinese, Continental, Italian",12:30 PM to 12:30 AM (Mon-Sun),1800,3,"Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Live Sports Screening', 'Valet Parking Available', 'Live Music', 'Romantic Dining', 'Free Wifi', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Hookah', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Rooftop', 'Table booking recommended', 'Air Conditioned', 'Smoking Area",4.2,Very Good,3472,8419,-1,-1
Janta Eating House,Quick Bites,"Loni Road, Shahdara, New Delhi",New Delhi,Shahdara,28.68222952,77.29238033,"Shahdara, New Delhi",North Indian,"11 AM to 4 PM, 7 PM to 1 AM",150,1,"Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Indoor Seating', 'Pure Veg",4.1,Very Good,1135,45,-1,-1
