name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Gol Bungalow - Taj Falaknuma Palace,Fine Dining,"Taj Falaknuma Palace, Falaknuma, Hyderabad",Hyderabad,"Taj Falaknuma, Falaknuma",17.33433806,78.46760329,"Taj Falaknuma, Falaknuma, Hyderabad","North Indian, Italian",7:30 PM to 11:30 PM,15000,4,"Cash', 'Dinner', 'Credit Card', 'No Alcohol Available', 'Outdoor Seating', 'Luxury Dining', 'Table reservation required', '4/5 Star",3.9,Good,38,20,-1,-1
Adaa - Taj Falaknuma Palace,Fine Dining,"Taj Falaknuma Palace, Falaknuma, Hyderabad",Hyderabad,"Taj Falaknuma, Falaknuma",17.33428333,78.46756842,"Taj Falaknuma, Falaknuma, Hyderabad",Hyderabadi,"12:30 PM to 3 PM, 7:30 PM to 11 PM (Mon-Sun)",8000,4,"Lunch', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Free Parking', 'Fullbar', '4/5 Star', 'Air Conditioned', 'City View', 'Indoor Seating', 'Table reservation required', 'Kid Friendly', 'Luxury Dining",4.5,Excellent,1087,627,-1,-1
Celeste - Taj Falaknuma Palace,Fine Dining,"Taj Falaknuma Palace, Falaknuma, Hyderabad",Hyderabad,"Taj Falaknuma, Falaknuma",17.33431214,78.46756238,"Taj Falaknuma, Falaknuma, Hyderabad","Italian, Mediterranean, Thai",7 AM to 11 PM,7000,4,"Breakfast', 'Lunch', 'Cash', 'Debit Card', 'Takeaway Available', 'Dinner', 'Credit Card', 'Luxury Dining', '4/5 Star', 'Indoor Seating', 'Fullbar', 'Valet Parking Available', 'Air Conditioned",4.4,Very Good,316,356,-1,-1
Vineela Yadlapalli Cakes,Bakery,"Plot 805, Behind B-DUBS, Road Number 36, CBI Colony, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.43328,78.404894,"Jubilee Hills, Hyderabad",Bakery,11 AM to 6 PM,5000,4,"Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes",3.5,Good,29,22,-1,-1
Thai Pavilion - Vivanta By Taj,Fine Dining,"Vivanta By Taj, 1-10-147 & 148, Mayuri Marg, Begumpet, Hyderabad",Hyderabad,"Vivanta By Taj, Begumpet",17.44368685,78.4607432,"Vivanta By Taj, Begumpet, Hyderabad",Thai,"7:30 PM to 11:45 PM (Mon-Thu),7:30 PM to 11:45 PM, 12 Noon to 2:45 PM (Fri-Sun)",4000,4,"Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Luxury Dining', '4/5 Star', 'Indoor Seating', 'Wifi', 'Fullbar', 'Brunch', 'Valet Parking Available', 'Air Conditioned",4.3,Very Good,233,226,-1,-1
Altitude - Hyderabad Marriott Hotel & Convention Centre,Lounge,"Tank Bund Road, Opposite Hussain Sagar Lake, Necklace Road, Hyderabad",Hyderabad,Hyderabad Marriott Hotel & Convention Centre,17.42369019,78.48761491,"Hyderabad Marriott Hotel & Convention Centre, Hyderabad",Continental,5 PM to 1 AM,4000,4,"Dinner', 'Cash', 'Credit Card', 'DJ', 'Nightlife', 'Valet Parking Available', 'Outdoor Seating', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Vegan Options', 'Live Sports Screening', 'City View', 'Fullbar', 'Sodexo', 'Indoor Seating', 'Table booking recommended', 'Wheelchair Accessible",4,Very Good,169,93,-1,-1
Prego - The Westin,Fine Dining,"The Westin, Mindspace IT Park, Hitech City, Hyderabad",Hyderabad,"The Westin Hyderabad Mindspace, Hitech City",17.44195482,78.38106584,"The Westin Hyderabad Mindspace, Hitech City, Hyderabad",Italian,"12 Noon to 3 PM, 7 PM to 11 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Fri-Sun)",3500,4,"Serves Alcohol', 'Lunch', 'Dinner', 'Cash', 'Credit Card', 'Valet Parking Available', 'Air Conditioned', 'Brunch', '4/5 Star', 'Wheelchair Accessible', 'Outdoor Seating', 'Wifi', 'Fullbar', 'Table booking recommended', 'Sneakpeek",4.2,Very Good,498,399,-1,-1
Dakshin - ITC Kakatiya,Fine Dining,"ITC Kakatiya, 6-3-1187, Begumpet, Hyderabad",Hyderabad,"ITC Kakatiya, Begumpet",17.43255835,78.45630985,"ITC Kakatiya, Begumpet, Hyderabad",South Indian,"12:30pm to 2:45pm, 7:30pm to 11:45pm (Mon-Sun)",3400,4,"Dinner', 'Serves Alcohol', 'Cash', 'Debit Card', 'No Alcohol Available', 'Lunch', 'Credit Card', 'Air Conditioned', 'Wheelchair Accessible', '4/5 Star', 'Table booking recommended', 'Indoor Seating', 'Luxury Dining', 'Wifi",4.4,Very Good,323,261,-1,-1
Kebabs & Kurries - ITC Kakatiya,Fine Dining,"ITC Kakatiya, 6-3-1187, Begumpet, Hyderabad",Hyderabad,"ITC Kakatiya, Begumpet",17.43255547,78.45625319,"ITC Kakatiya, Begumpet, Hyderabad","Hyderabadi, North Indian","12:30pm to 2:45pm, 7:30pm to 11:45pm (Mon-Sun)",3400,4,"Lunch', 'Dinner', 'Cash', 'Debit Card', 'Serves Alcohol', 'Credit Card', 'Valet Parking Available', '4/5 Star', 'Luxury Dining', 'Fullbar', 'Air Conditioned', 'Live Music', 'Table booking recommended', 'Wifi', 'Indoor Seating', 'Wheelchair Accessible",4.2,Very Good,280,174,-1,-1
Seasonal Tastes - The Westin,Fine Dining,"The Westin, Mindspace IT Park, Hitech City, Hyderabad",Hyderabad,"The Westin Hyderabad Mindspace, Hitech City",17.44203094,78.38103633,"The Westin Hyderabad Mindspace, Hitech City, Hyderabad","Asian, Chinese, Continental, North Indian, South Indian","6:30am to 11pm (Mon-Sat),6:30am to 11:30pm (Sun)",3000,4,"Lunch', 'Credit Card', 'Dinner', 'Cash', 'Breakfast', 'Fullbar', '4/5 Star', 'Air Conditioned', 'Luxury Dining', 'Brunch', 'Desserts and Bakes', 'Outdoor Seating', 'Table booking recommended', 'Smoking Area', 'Buffet",4.5,Excellent,1091,1787,-1,-1
