name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Cafe Sea Side,Casual Dining,"Near Taj Land's End, Bandstand, Bandra West, Mumbai",Mumbai,"Bandstand, Bandra West",19.04564823,72.81927846,"Bandstand, Bandra West, Mumbai","Fast Food, Chinese",9:30 AM to 11:30 PM,500,2,"Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating",2,Poor,187,91,-1,-1
Sunny Da Dhaba,Casual Dining,"Gala 01, Oppoosite To Mangesh Industrial Estate, Subhas Nagar, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai","Chinese, North Indian, Biryani",11 AM to 1 AM,750,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating",2,Poor,147,77,1,-1
Smokin' Joe's,Casual Dining,"Shop 4, Near Akruti Commercial Complex, MIDC, Chakala, Mumbai",Mumbai,Chakala,19.11925303,72.87027229,"Chakala, Mumbai","Pizza, Fast Food",11 AM to 2 AM,500,2,"Cash', 'Delivery', 'Lunch', 'Debit Card', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Sodexo', 'Ticket Restaurant', 'Air Conditioned', 'Table Reservation Not Required",2.1,Poor,244,94,-1,-1
Summer Park,Casual Dining,"Dr. Annie Besant Road, Worli, Mumbai",Mumbai,Worli,19.00161009,72.81515926,"Worli, Mumbai","North Indian, South Indian, Chinese, Fast Food",7 AM to 12 Midnight (Mon-Sun),450,1,"Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Pure Veg', 'Indoor Seating",2.1,Poor,62,17,-1,-1
Kaveri Hotel,Casual Dining,"Gala 01, Opposite To Mangesh Industrial Estate, Subhas Nagar Bhandup West Landmark, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai","Chinese, North Indian, Biryani",11 AM to 1 AM,600,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended",2.1,Poor,32,26,1,-1
Bademiya Family Restaurant,Casual Dining,"19-A, Ram Mention, Navroji F Road, Colaba, Mumbai",Mumbai,Colaba,18.92283432,72.83206455,"Colaba, Mumbai","Mughlai, North Indian, Kebab, Rolls",12 Noon to 3 AM (Mon-Sun),900,2,"Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Table booking for Groups', 'Smoking Area', 'Table Reservation Not Required', 'Private Dining Area Available', 'Serves Jain Food",2.2,Poor,716,431,0,-1
Ibrahim's,Quick Bites,"Link Palace Building, Near Gurukripa, Mallard Link Road, Chincholi Bunder Junction, Malad West, Mumbai",Mumbai,Malad West,19.17950125,72.83663001,"Malad West, Mumbai","Mughlai, Lucknowi, Biryani",7 PM to 4 AM,500,2,"Cash', 'Delivery', 'No Alcohol Available', 'Takeaway Available', 'Dinner', 'Outdoor Seating",2.2,Poor,149,50,1,-1
Shiv Mahal,Casual Dining,"Opposite Santacruz Railway Station, Santacruz West, Mumbai",Mumbai,Santacruz West,19.08244236,72.84128062,"Santacruz West, Mumbai","Chinese, Fast Food, North Indian, South Indian",7 AM to 12 Midnight,450,1,"Cash', 'Delivery', 'No Alcohol Available', 'Dinner', 'Lunch', 'Outdoor Seating', 'Air Conditioned', 'Pure Veg', 'Table Reservation Not Required",2.2,Poor,107,54,-1,-1
Cafe Coffee Day,Cafe,"S V Road, Opposite Pawan Hans, Bajaj Road, Vile Parle West, Mumbai",Mumbai,Vile Parle West,19.100194,72.839675,"Vile Parle West, Mumbai","Beverages, Cafe, Sandwich, Fast Food",9 AM to 11:30 PM,600,2,"Cash', 'Breakfast', 'Credit Card', 'Takeaway Available', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.2,Poor,91,86,1,-1
Hotel Deviprasad,Casual Dining,"Opposite Akruti Centre Point, MIDC Central Road, Andheri East, Mahakali, Mumbai",Mumbai,Mahakali,19.1184389,72.87005637,"Mahakali, Mumbai","North Indian, Chinese, Fast Food",11 AM to 12 Midnight,450,1,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating",2.2,Poor,87,13,1,-1
Zaika,Unknown,"Gala 01, Opposite To Mangesh Industrial Estate, Subhas Nagar Bhandup West Landmark, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai","North Indian, Mughlai, Kebab, Biryani, Afghan",11 AM to 1 AM,800,2,"Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Digital Payments Accepted",2.2,Poor,74,6,1,-1
Golden Kitchen,Casual Dining,"Gala 01, Opposite To Mangesh Industrial Estate, Subhas Nagar Bhandup West Landmark, Near CEAT Tyre, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai",Chinese,11 AM to 1 AM,600,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended",2.2,Poor,49,17,1,-1
Plated,Casual Dining,"Next To Sai Baba Park, Evershine Hospital, Evershine Nagar, Malad West, Mumbai",Mumbai,Malad West,19.191726,72.832787,"Malad West, Mumbai","North Indian, Chinese, Kebab, Mughlai, Lucknowi","11:30am to 3pm, 7pm to 2am (Mon, Tue, Wed, Thu, Sun), 11:30am to 3pm, 7pm to 4am (Fri-Sat)",500,2,"Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Brunch', 'Table Reservation Not Required",2.2,Poor,41,11,-1,-1
Cafe Coffee Day,Cafe,"S V Road, Opposite Pawan Hans, Bajaj Road, Vile Parle West, Mumbai",Mumbai,Vile Parle West,19.100194,72.839675,"Vile Parle West, Mumbai","Beverages, Cafe, Sandwich, Fast Food",9 AM to 11:30 PM,600,2,"Cash', 'Breakfast', 'Credit Card', 'Takeaway Available', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.2,Poor,91,86,-1,-1
Subway,Quick Bites,"Near Times Square Building, Andheri East, Marol, Mumbai",Mumbai,Marol,19.10571037,72.88786121,"Marol, Mumbai","Fast Food, Healthy Food, Sandwich, Salad",9 AM to 11 PM,400,1,"Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned",2.3,Poor,353,142,-1,-1
Cafe Coffee Day,Cafe,"145, Marine Drive, Near Sea Green Hotel, Churchgate, Mumbai",Mumbai,Churchgate,18.932755,72.823374,"Churchgate, Mumbai","Beverages, Cafe, Sandwich, Fast Food",9 AM to 1 AM,600,2,"Takeaway Available', 'Delivery', 'Debit Card', 'Cash', 'Breakfast', 'Credit Card', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.3,Poor,102,127,1,-1
Mayur Restaurant & Bar,Casual Dining,"Juhu Road, Near Police Station, Santacruz West, Mumbai",Mumbai,Santacruz West,19.08446482,72.83617772,"Santacruz West, Mumbai","South Indian, North Indian, Chinese",8 AM to 12:30 AM,500,2,"Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Pure Veg",2.3,Poor,147,34,-1,-1
Kamats,Casual Dining,"GD Somani Road, Cuffe Parade, Mumbai",Mumbai,Cuffe Parade,18.91668169,72.81786393,"Cuffe Parade, Mumbai","North Indian, South Indian",9 AM to 10 PM (Mon-Sun),450,1,"Dinner', 'Cash', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Air Conditioned",2.3,Poor,82,39,-1,-1
Shubham,Casual Dining,"Opposite Swaminarayan Temple, LN Road, Dadar East, Mumbai",Mumbai,Dadar East,19.01768917,72.84403592,"Dadar East, Mumbai","North Indian, South Indian, Chinese, Fast Food",11 AM to 11:30 PM,500,2,"Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned', 'Pure Veg",2.3,Poor,74,37,1,-1
Shagun,Casual Dining,"Gananath CHS, Opposite Dadar Railway Station, Dr. D'Silva Road, Dadar West, Mumbai",Mumbai,Dadar West,19.01905533,72.84250405,"Dadar West, Mumbai","North Indian, South Indian, Street Food, Beverages",9 AM to 12 Midnight,400,1,"Cash', 'Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Air Conditioned', 'Pure Veg', 'Indoor Seating",2.3,Poor,78,31,-1,-1
Food Fataang,Casual Dining,"Shop 03, Bunglow Plot 3-37, RSC-13, Gorai-01, Borivali West, Mumbai",Mumbai,Borivali West,19.22661951,72.82812104,"Borivali West, Mumbai","North Indian, Lebanese, Chinese","11:30 AM to 3:30 PM, 6:30 PM to 11:30 PM",600,2,"Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned",2.3,Poor,73,25,1,-1
Horn Ok Please,Quick Bites,"Gala 01, Opposite To Mangesh Industrial Estate, Subhas Nagar, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai","North Indian, Chinese",11 AM to 1 AM,600,2,"Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted",2.3,Poor,69,25,1,-1
Pahadi Kebab and Biryani Centre,Quick Bites,"Gala 01, Opposite To Mangesh Industrial Estate, Subhas Nagar, Bhandup, Mumbai",Mumbai,Bhandup,19.1558002,72.9449493,"Bhandup, Mumbai","North Indian, Chinese, Biryani",11 AM to 1 AM,350,1,"Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating",2.3,Poor,63,7,1,-1
Cafe Coffee Day,Cafe,"Cecil Court, SBS Road, Colaba, Mumbai",Mumbai,Colaba,18.92448321,72.83223219,"Colaba, Mumbai","Beverages, Cafe, Sandwich, Fast Food",9 AM to 12 Midnight,600,2,"Delivery', 'Cash', 'Debit Card', 'Breakfast', 'Credit Card', 'Air Conditioned', 'Indoor Seating', 'Desserts and Bakes",2.3,Poor,47,55,1,-1
Cafe Coffee Day,Cafe,"Ground Floor, IMAX Cinemas, Bhakti Park, Wadala, Mumbai",Mumbai,Wadala,19.03840765,72.86862239,"Wadala, Mumbai","Beverages, Cafe, Sandwich, Fast Food",8 AM to 12 Midnight,600,2,"Delivery', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Cash', 'Breakfast', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.3,Poor,27,82,-1,-1
Cafe Coffee Day,Cafe,"Growel's 101 Mall, Akurli Road, Kandivali East, Mumbai",Mumbai,"Growel's 101 Mall, Kandivali East",19.20332644,72.8600923,"Growel's 101 Mall, Kandivali East, Mumbai","Beverages, Cafe, Sandwich, Fast Food",11 AM to 11 PM,600,2,"Cash', 'Debit Card', 'Delivery', 'Takeaway Available', 'Mall Parking', 'Credit Card', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.3,Poor,34,68,-1,-1
Mittu's Kitchen,Unknown,"Room 05, Saraswati Building, N.M Joshi Marg, Near Deepak Cinema",Mumbai,Lower Parel,19.00357489,72.83081464,"Lower Parel, Mumbai","Fast Food, Italian",12 Noon to 3 AM,400,1,"Cash', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Dinner', 'Delivery', 'No Seating Available",2.3,Poor,55,18,-1,-1
Cafe Coffee Day,Cafe,"Cambata Building, Jamshedji Tata Road, Churchgate, Mumbai",Mumbai,Churchgate,18.932238,72.827672,"Churchgate, Mumbai","Beverages, Cafe, Sandwich, Fast Food",9 AM to 12 Midnight,600,2,"Cash', 'Breakfast', 'Credit Card', 'Takeaway Available', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned",2.3,Poor,47,44,1,-1
Shobha,Quick Bites,"30 B, Bhulabhai Desai Road, Cumbala Hill, Breach Candy, Mumbai",Mumbai,Breach Candy,18.97603742,72.8075267,"Breach Candy, Mumbai","North Indian, South Indian",7:30 AM to 11:30 PM (Mon-Sun),350,1,"Lunch', 'Cash', 'Dinner', 'Delivery', 'Breakfast', 'Pure Veg', 'Indoor Seating",2.3,Poor,49,23,-1,-1
Bhojon Rasik,Unknown,"Shop 6, Tulsi Kunj, Mukteshwar Ashram Road, IIT, Powai, Mumbai",Mumbai,Powai,19.126936,72.918756,"Powai, Mumbai",Bengali,12 Noon to 12 Midnight,400,1,"Lunch', 'Cash', 'Dinner', 'Delivery",2.3,Poor,39,21,1,-1
Cafe 2.0,Quick Bites,"Shop 7, Happy Dream, Plot 453, Corner Of 24th-33rd Road, Linking Road, Bandra West, Mumbai",Mumbai,"Linking Road, Bandra West",19.065164,72.832392,"Linking Road, Bandra West, Mumbai","Fast Food, American",10 AM to 12 Midnight,300,1,"Dinner', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Wifi', 'Serves Jain Food', 'Pure Veg', 'Indoor Seating",2.3,Poor,25,31,-1,-1
Monginis,Bakery,"4 & 5, Khudabux Building, Opposite Sales Tax Office, Mazagaon, Byculla, Mumbai",Mumbai,Byculla,18.9686004,72.84053396,"Byculla, Mumbai","Bakery, Desserts, Fast Food",9:30 AM to 8:30 PM (Mon-Sun),200,1,"Delivery', 'Breakfast', 'No Alcohol Available', 'Cash', 'Debit Card', 'Takeaway Available', 'No Seating Available', 'Credit Card', 'Air Conditioned', 'Desserts and Bakes",2.3,Poor,27,158,-1,-1
Paratha Treat Veg,Quick Bites,"Om Kalpatru CHS, Building 7, Pocket 5, Road 7, MIDC, Near Andheri East Station, Mumbai",Mumbai,Near Andheri East Station,19.11792096,72.87102733,"Near Andheri East Station, Mumbai","North Indian, Chinese, South Indian, Street Food, Fast Food",11 AM to 11 PM,600,2,"Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg",2.3,Poor,27,2,1,-1
Shubham,Casual Dining,"Opposite Swaminarayan Temple, LN Road, Dadar East, Mumbai",Mumbai,Dadar East,19.01768917,72.84403592,"Dadar East, Mumbai","North Indian, South Indian, Chinese, Fast Food",11 AM to 11:30 PM,500,2,"Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Lunch', 'Indoor Seating', 'Air Conditioned', 'Pure Veg",2.3,Poor,74,37,1,-1
