Name,City,State,Address,Latitude,Longitude,Rating,Price,Image
Country Inn & Suites By Turtle,Mumbai,Maharashtra,Country Inn & Suites By Turtle Mumbai Maharashtra ,19.1284528,72.8368595,6.2,"3,780",https://cf.bstatic.com/xdata/images/hotel/square600/423638200.webp?k=deac3a96425945c71f1e11d98b5101fcab04b7bbc64e294c1145da78ae435e91&o=&s=1
Empire Hotel - Grant Road,Mumbai,Maharashtra,Empire Hotel - Grant Road Mumbai Maharashtra ,18.9613183,72.8175979,8.1,"2,340",https://cf.bstatic.com/xdata/images/hotel/square600/43212916.webp?k=1ba490b83e7da0c9107c9490d0c8902c0aa4276f7136c780822bcd399280ee7b&o=&s=1
FabHotel Aksa International Andheri East,Mumbai,Maharashtra,FabHotel Aksa International Andheri East Mumbai Maharashtra ,19.1121921,72.8881836,7.1,"2,064",https://cf.bstatic.com/xdata/images/hotel/square600/294067892.webp?k=e2892a54f4f00f4f551e76609436ee786f0d8f7b8b9f4519c242a57385f73870&o=&s=1
Hotel Marine Plaza,Mumbai,Maharashtra,Hotel Marine Plaza Mumbai Maharashtra ,18.9313217,72.8230725,7.4,"9,900",https://cf.bstatic.com/xdata/images/hotel/square600/330897136.webp?k=02b31a2cc3d7e2ed83f9d981883ab2c16d40bd66e0bfa6f75e93923363488436&o=&s=1
FabHotel Prime Le Western,Mumbai,Maharashtra,FabHotel Prime Le Western Mumbai Maharashtra ,19.1078919,72.882743,6.4,"4,118",https://cf.bstatic.com/xdata/images/hotel/square600/424548128.webp?k=101debe999608ecc8c76a1c01c2594ea72a54be60456692b9fdcdd45496a920c&o=&s=1
"The Royal Orchid Hotel, Chembur",Mumbai,Maharashtra,"The Royal Orchid Hotel, Chembur Mumbai Maharashtra ",19.0618862,72.9016119,7.7,"2,430",https://cf.bstatic.com/xdata/images/hotel/square600/130009356.webp?k=82bc3c0f3f8f13c27e9108781ec25aca41df40999c76bf70e1c25c67c4b68246&o=&s=1
FabExpress Orange Suites Santacruz East,Mumbai,Maharashtra,FabExpress Orange Suites Santacruz East Mumbai Maharashtra ,19.0800856,72.8487036,7.7,"2,312",https://cf.bstatic.com/xdata/images/hotel/square600/178955979.webp?k=d5607dfc738fabbb55ab44ab2dfdb892e9465b8ed937db99f774e00cf27bb80d&o=&s=1
"Ascot Hotel, Colaba",Mumbai,Maharashtra,"Ascot Hotel, Colaba Mumbai Maharashtra ",18.9190972,72.8299644,8.1,"6,300",https://cf.bstatic.com/xdata/images/hotel/square600/78808133.webp?k=0feace168ee9dce0296b67ba0c9ed32f61ddbf5f8a1f119a7ef6cf8e38c3528a&o=&s=1
Le Sutra Hotel,Mumbai,Maharashtra,Le Sutra Hotel Mumbai Maharashtra ,19.0718145,72.8254336,8.3,"9,323",https://cf.bstatic.com/xdata/images/hotel/square600/249672515.webp?k=5f3a7b534346d10b355fab73946a0bfd3c021807abf1f48aeeee4755490cdcfd&o=&s=1
FabExpress Spring Inn Kandivali,Mumbai,Maharashtra,FabExpress Spring Inn Kandivali Mumbai Maharashtra ,19.20195,72.850895,7.2,"2,421",https://cf.bstatic.com/xdata/images/hotel/square600/338383958.webp?k=b2f1cdf1f1c8b7c815e34642a8e19228144813a296bf9f5c0e1b160d66085b17&o=&s=1
Residency Hotel Andheri,Mumbai,Maharashtra,Residency Hotel Andheri Mumbai Maharashtra ,19.1043193,72.8593051,7.3,"5,000",https://cf.bstatic.com/xdata/images/hotel/square600/33903873.webp?k=303ec443286f01cf05808d9e0446c43d1bc2ae12c7d60837c6a307a83f637980&o=&s=1
Sea Green Hotel,Mumbai,Maharashtra,Sea Green Hotel Mumbai Maharashtra ,18.9328595,72.8236717,7,"6,348",https://cf.bstatic.com/xdata/images/hotel/square600/62666833.webp?k=2c6f4bc975dc87d98e3dda08fc098aa7e654129a9645a26baa9cd185f9241261&o=&s=1
FabExpress Liwa International Andheri East,Mumbai,Maharashtra,FabExpress Liwa International Andheri East Mumbai Maharashtra ,19.1261765,72.8600933,7.6,"2,907",https://cf.bstatic.com/xdata/images/hotel/square600/215732021.webp?k=5ed4569de9eb0020818404cdd194d1a2ebdf79ab565618d7995d700ea0930e9f&o=&s=1
Sea Green South Hotel,Mumbai,Maharashtra,Sea Green South Hotel Mumbai Maharashtra ,19.1034557,72.8309294,7.1,"6,000",https://cf.bstatic.com/xdata/images/hotel/square600/64257851.webp?k=32a8cb264a482f8bd4faf59504299b91ec2278170f91ff68f124a7271e7b754c&o=&s=1
FabHotel RK International,Mumbai,Maharashtra,FabHotel RK International Mumbai Maharashtra ,19.085494,72.884266,7.4,"2,943",https://cf.bstatic.com/xdata/images/hotel/square600/289854981.webp?k=d4f4a9169333a2f9c8b1c53d979c010f88a34ec25798d913a995905b9a5e7009&o=&s=1
Niranta Transit Hotel Terminal 2 Arrivals/Landside,Mumbai,Maharashtra,Niranta Transit Hotel Terminal 2 Arrivals/Landside Mumbai Maharashtra ,19.0974373,72.8745017,7.6,"9,054",https://cf.bstatic.com/xdata/images/hotel/square600/336693267.webp?k=90883936df52125d7aef7504aa688f9e249223de17809bc9439eb39444d30631&o=&s=1
"Adiva Residency Beacon, Grant Road, Mumbai",Mumbai,Maharashtra,"Adiva Residency Beacon, Grant Road, Mumbai Mumbai Maharashtra ",18.961646,72.8212551,7.7,"4,977",https://cf.bstatic.com/xdata/images/hotel/square600/409734404.webp?k=d3ca46e9fe9a0129519e86aa3b2651d92c990246f98485dcf269edbef0d1a1e2&o=&s=1
"Regent Hotel Andheri, Airport",Mumbai,Maharashtra,"Regent Hotel Andheri, Airport Mumbai Maharashtra ",19.1139624,72.8714407,7.4,"4,649",https://cf.bstatic.com/xdata/images/hotel/square600/173068602.webp?k=e64d645f4f69acdaf88330eaf908b4a19a679f40af77934299da2515c2b6e96d&o=&s=1
Hotel Samadhan Lodging,Mumbai,Maharashtra,Hotel Samadhan Lodging Mumbai Maharashtra ,19.2071414,72.8517677,4,"2,299",https://cf.bstatic.com/xdata/images/hotel/square600/421362807.webp?k=a198a97e785f658a289469e1bf250c2f0f5700f73ecdeeb43632f55c666590cf&o=&s=1
Hotel Metropolis,Mumbai,Maharashtra,Hotel Metropolis Mumbai Maharashtra ,19.1168289,72.8798702,6.8,"5,265",https://cf.bstatic.com/xdata/images/hotel/square600/285424937.webp?k=19e63fbaef9326b97110637e0a275ad8b2926f8af327030a07495b1dd41ac215&o=&s=1
"The Shalimar Hotel, Kemps Corner",Mumbai,Maharashtra,"The Shalimar Hotel, Kemps Corner Mumbai Maharashtra ",18.9639998,72.8060284,7,"6,642",https://cf.bstatic.com/xdata/images/hotel/square600/92964978.webp?k=85d37f684f9c42e9296c3f4f70ce0cbe9813005c5ac9b458617945feca5cb6d1&o=&s=1
FabHotel Royal International,Mumbai,Maharashtra,FabHotel Royal International Mumbai Maharashtra ,19.1227379,72.8628845,7.6,"2,709",https://cf.bstatic.com/xdata/images/hotel/square600/342665186.webp?k=abff1e51bcc78144a838e326b471fe7298a16841df9d12a69b1a07a23d5a94bb&o=&s=1
"Bentley Hotel, Marine Drive",Mumbai,Maharashtra,"Bentley Hotel, Marine Drive Mumbai Maharashtra ",18.9432503,72.8229845,8.1,"4,523",https://cf.bstatic.com/xdata/images/hotel/square600/66642452.webp?k=986e9b4561ebb69973feecaa0d36676be9ed31124e0c3b30dfb54be6de846f58&o=&s=1
Zostel Mumbai,Mumbai,Maharashtra,Zostel Mumbai Mumbai Maharashtra ,19.1194616,72.8837906,7.8,"4,248",https://cf.bstatic.com/xdata/images/hotel/square600/118679094.webp?k=894154725bee85636c8196592a40676671fa42cfbcaa38e276b1529ff561d26b&o=&s=1
Hostel Vasantashram CST Mumbai,Mumbai,Maharashtra,Hostel Vasantashram CST Mumbai Mumbai Maharashtra ,18.9465424,72.8322984,7.3,"1,458",https://cf.bstatic.com/xdata/images/hotel/square600/153040241.webp?k=486a6680372ec12b648a9363a131e055b7d624c71b3c1ee6cf389516a2e4b475&o=&s=1
FabHotel Peninsula Suites,Mumbai,Maharashtra,FabHotel Peninsula Suites Mumbai Maharashtra ,18.9529834,72.8327627,4.7,"4,598",https://cf.bstatic.com/xdata/images/hotel/square600/323301869.webp?k=c691847a20e55542ac0be1300a6473667b384fd45bc0e1c58cedb9f1b722d384&o=&s=1
Nap Manor Hostels,Mumbai,Maharashtra,Nap Manor Hostels Mumbai Maharashtra ,19.0819974,72.8475767,9.1,"2,969",https://cf.bstatic.com/xdata/images/hotel/square600/255856201.webp?k=2797cb8e213f3fc59dcfe60c75e8977548146aec544f981d4328f0364566b787&o=&s=1
